Time,CursorX,CursorY,MeteorX,MeteorY
2023-11-06 16:37:22.677,5.57,1.25,0.00,0.00,
2023-11-06 16:37:22.780,5.57,1.25,0.00,0.00,
2023-11-06 16:37:22.880,5.57,1.25,0.00,0.00,
2023-11-06 16:37:22.981,5.80,1.25,0.00,0.00,
2023-11-06 16:37:23.083,5.77,1.25,0.00,0.00,
2023-11-06 16:37:23.185,5.83,1.25,0.00,0.00,
2023-11-06 16:37:23.285,5.83,1.25,0.00,0.00,
2023-11-06 16:37:23.389,5.72,1.25,0.00,0.00,
2023-11-06 16:37:23.490,5.72,1.25,0.00,0.00,
2023-11-06 16:37:23.591,5.72,1.25,0.00,0.00,
2023-11-06 16:37:23.694,4.35,0.50,0.00,0.00,
2023-11-06 16:37:23.797,4.12,-0.42,0.00,0.00,
2023-11-06 16:37:23.901,4.32,-0.67,0.00,0.00,
2023-11-06 16:37:24.005,4.63,-1.11,0.00,0.00,
2023-11-06 16:37:24.105,4.67,-1.26,0.00,0.00,
2023-11-06 16:37:24.208,4.67,-1.26,0.00,0.00,
2023-11-06 16:37:24.312,4.67,-1.26,0.00,0.00,
2023-11-06 16:37:24.414,4.67,-1.26,0.00,0.00,
2023-11-06 16:37:24.517,4.67,-1.26,0.00,0.00,
2023-11-06 16:37:24.618,4.67,-1.26,0.00,0.00,
2023-11-06 16:37:24.721,4.67,-1.26,0.00,0.00,
2023-11-06 16:37:24.822,4.67,-1.26,0.00,0.00,
2023-11-06 16:37:24.925,4.67,-1.26,0.00,0.00,
2023-11-06 16:37:25.025,4.67,-1.26,0.00,0.00,
2023-11-06 16:37:25.127,4.67,-1.26,0.00,0.00,
2023-11-06 16:37:25.227,2.26,-0.86,0.00,0.00,
2023-11-06 16:37:25.328,-0.46,-0.57,0.00,0.00,
2023-11-06 16:37:25.429,-0.52,-0.57,0.00,0.00,
2023-11-06 16:37:25.531,-0.52,-0.57,0.00,0.00,
2023-11-06 16:37:25.631,-0.52,-0.57,0.00,0.00,
2023-11-06 16:37:25.732,-0.56,-0.50,0.00,0.00,
2023-11-06 16:37:25.835,-1.41,1.25,0.00,0.00,
2023-11-06 16:37:25.936,-1.55,1.25,0.00,0.00,
2023-11-06 16:37:26.039,-1.55,1.25,0.00,0.00,
2023-11-06 16:37:26.140,-1.55,1.25,0.00,0.00,
2023-11-06 16:37:26.241,-1.55,1.25,0.00,0.00,
2023-11-06 16:37:26.342,-1.55,1.25,0.00,0.00,
2023-11-06 16:37:26.443,-1.06,1.25,0.00,0.00,
2023-11-06 16:37:26.547,5.62,1.25,0.00,0.00,
2023-11-06 16:37:26.648,6.83,1.25,0.00,0.00,
2023-11-06 16:37:26.750,6.83,1.25,0.00,0.00,
2023-11-06 16:37:26.854,6.83,1.25,0.00,0.00,
2023-11-06 16:37:26.959,6.83,1.25,0.00,0.00,
2023-11-06 16:37:27.061,6.83,1.25,0.00,0.00,
2023-11-06 16:37:27.161,6.83,1.25,0.00,0.00,
2023-11-06 16:37:27.263,6.83,1.25,0.00,0.00,
2023-11-06 16:37:27.364,6.83,1.25,0.00,0.00,
2023-11-06 16:37:27.467,6.83,1.25,0.00,0.00,
2023-11-06 16:37:27.568,6.83,1.25,0.00,0.00,
2023-11-06 16:37:27.671,6.83,1.25,0.00,0.00,
2023-11-06 16:37:27.774,6.83,1.25,0.00,0.00,
